update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,kl,success_rate,clip_fraction,approx_kl_k3,return_mean,return_std,return_min,return_max
1,64,65.26236332331187,0,0.0,0.0,0,0,0.0,0.0,0,0,9.93485689163208,0.6629852764308453,-0.010657491395249963,1.1005119639303302,149.0964334291843,12.367731094360352,0.0,0.46875,0.665369391441466,0.0,0.0,0,0
2,128,69.01268236197873,1,0.0,0.0,0,0,0.0,0.0,0,0,9.941962718963623,0.02418765425682068,0.03772392496466637,0.25452850124565884,425.24706682861085,21.09340190887451,0.0,0.3870967626571655,0.1913105696448696,0.0,0.0,0,0
3,192,70.05945288810916,2,0.0,0.0,0,0,0.0,0.0,0,0,9.947004795074463,-0.6580759882926941,-0.0600996520370245,0.022497004829347134,431.96952693473423,17.64219570159912,0.0,0.1875,0.012070674449647711,0.0,0.0,0,0
4,256,66.57090452056929,3,0.0,0.0,0,0,0.0,0.0,0,0,9.951156616210938,-0.6119679510593414,-0.07329433411359787,0.006607423012610525,230.7994565686265,6.731460809707642,0.0,0.22580644488334656,0.013661581092005548,0.0,0.0,0,0
5,320,64.83619333318842,4,0.0,0.0,0,0,0.0,0.0,0,0,9.955108642578125,-0.24988850951194763,-0.051072243601083755,0.01870331121608615,37.20061618949719,0.7804820314049721,0.0,0.328125,0.04834739491364104,0.0,0.0,0,0
