update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,kl,success_rate,return_mean,return_std,return_min,return_max
1,64,74.9934294429903,0,0.0,0.0,0,0,0.0,0.0,0,0,9.93485689163208,0.6629852764308453,-0.010657491395249963,1.1005119639303302,149.0964334291843,12.367731094360352,0.0,0.0,0.0,0,0
2,128,76.41683578727839,1,0.0,0.0,0,0,0.0,0.0,0,0,9.941962718963623,0.02418765425682068,0.03772392496466637,0.25452850124565884,425.24706682861085,21.09340190887451,0.0,0.0,0.0,0,0
3,192,74.75553268256711,2,0.0,0.0,0,0,0.0,0.0,0,0,9.947004795074463,-0.6580759882926941,-0.0600996520370245,0.022497004829347134,431.96952693473423,17.64219570159912,0.0,0.0,0.0,0,0
4,256,74.61425605597887,3,0.0,0.0,0,0,0.0,0.0,0,0,9.951156616210938,-0.6119679510593414,-0.07329433411359787,0.006607423012610525,230.7994565686265,6.731460809707642,0.0,0.0,0.0,0,0
5,320,73.50805236784332,4,0.0,0.0,0,0,0.0,0.0,0,0,9.955108642578125,-0.24988850951194763,-0.051072243601083755,0.01870331121608615,37.20061618949719,0.7804820314049721,0.0,0.0,0.0,0,0
6,384,77.09309427291774,5,0.0,0.0,0,0,0.0,0.0,0,0,9.960365772247314,0.0862656906247139,-0.014257957227528095,0.002949311849079095,31.18526085994485,0.778039276599884,0.0,0.0,0.0,0,0
7,448,77.5723680027927,5,0.0,0.0,0,0,0.0,0.0,0,0,9.966017723083496,0.09300110675394535,-0.005273175658658147,0.0027641190754366107,19.102240183090878,1.4471386671066284,0.0,0.0,0.0,0,0
8,512,74.67438756451777,6,0.7673108577728271,0.0,0.7673108577728271,0.7673108577728271,500.0,0.0,500.0,500.0,9.972226619720459,-0.07041862979531288,-0.0395379438996315,0.011304585612379014,10.090963274721785,0.5364574491977692,0.0,0.7673108577728271,0.0,0.7673108577728271,0.7673108577728271
9,576,77.2278340223655,7,0.7673108577728271,0.0,0.7673108577728271,0.7673108577728271,500.0,0.0,500.0,500.0,9.978789329528809,-0.07686029374599457,-0.024718472734093666,0.0011621440935414284,12.131066703157568,0.1411912962794304,0.0,0.7673108577728271,0.0,0.7673108577728271,0.7673108577728271
10,640,76.9017214657526,8,0.7673108577728271,0.0,0.7673108577728271,0.7673108577728271,500.0,0.0,500.0,500.0,9.985361099243164,0.05182112962938845,-0.11466635391116142,0.016320278635248542,7.27670873235898,0.24392212182283401,0.0,0.7673108577728271,0.0,0.7673108577728271,0.7673108577728271
11,704,74.87685054445909,9,0.7673108577728271,0.0,0.7673108577728271,0.7673108577728271,500.0,0.0,500.0,500.0,9.989893436431885,0.21247640252113342,-0.07640160247683525,0.006855472456663847,6.649923536690502,0.1339290551841259,0.0,0.7673108577728271,0.0,0.7673108577728271,0.7673108577728271
12,768,77.66546461190914,10,0.7673108577728271,0.0,0.7673108577728271,0.7673108577728271,500.0,0.0,500.0,500.0,9.994821548461914,0.15615972504019737,-0.06516563519835472,0.014720027800649405,4.825266858453894,0.0662707258015871,0.0,0.7673108577728271,0.0,0.7673108577728271,0.7673108577728271
13,832,75.01507816298813,10,0.7673108577728271,0.0,0.7673108577728271,0.7673108577728271,500.0,0.0,500.0,500.0,10.000396251678467,0.08876391872763634,-0.05911418981850147,0.009243462700396776,10.88566392657142,0.06077485345304012,0.0,0.7673108577728271,0.0,0.7673108577728271,0.7673108577728271
14,896,72.80695469531982,11,0.7673108577728271,0.0,0.7673108577728271,0.7673108577728271,500.0,0.0,500.0,500.0,10.006246566772461,0.059185368940234184,-0.061422377824783325,0.007442982867360115,5.927864323883678,0.05142412334680557,0.0,0.7673108577728271,0.0,0.7673108577728271,0.7673108577728271
15,960,74.818728188302,12,0.7673108577728271,0.0,0.7673108577728271,0.7673108577728271,500.0,0.0,500.0,500.0,10.012289047241211,0.03534480556845665,-0.05271364189684391,0.006054261699318886,10.276072005170324,0.039979344233870506,0.0,0.7673108577728271,0.0,0.7673108577728271,0.7673108577728271
16,1024,73.40549566092453,13,3.785590887069702,0.0,3.785590887069702,3.785590887069702,500.0,0.0,500.0,500.0,10.018190383911133,0.0460173562169075,-0.039130186662077904,0.005324246594682336,15.018016651513639,0.06204523704946041,0.0,3.785590887069702,0.0,3.785590887069702,3.785590887069702
17,1088,73.40686066598356,14,3.785590887069702,0.0,3.785590887069702,3.785590887069702,500.0,0.0,500.0,500.0,10.024016857147217,0.06494814530014992,-0.00680725066922605,0.00014076274237595499,7.1001000124595155,0.056485896930098534,0.0,3.785590887069702,0.0,3.785590887069702,3.785590887069702
18,1152,72.73494864517892,15,3.785590887069702,0.0,3.785590887069702,3.785590887069702,500.0,0.0,500.0,500.0,10.03040361404419,0.04306130111217499,-0.005266758380457759,0.0004770003852172522,3.128569538937189,0.025199291296303272,0.0,3.785590887069702,0.0,3.785590887069702,3.785590887069702
