update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,kl,return_mean,return_std,return_min,return_max
1,64,72.49455714484789,0,0.0,0.0,0,0,0.0,0.0,0,0,9.93485689163208,0.6629852764308453,-0.010657491395249963,1.1005119639303302,149.0964334291843,12.367731094360352,0.0,0.0,0,0
2,128,67.54795951079996,1,0.0,0.0,0,0,0.0,0.0,0,0,9.941962718963623,0.02418765425682068,0.03772392496466637,0.25452850124565884,425.24706682861085,21.09340190887451,0.0,0.0,0,0
3,192,66.16586804857175,2,0.0,0.0,0,0,0.0,0.0,0,0,9.947004795074463,-0.6580759882926941,-0.0600996520370245,0.022497004829347134,431.96952693473423,17.64219570159912,0.0,0.0,0,0
4,256,70.56026651645239,3,0.0,0.0,0,0,0.0,0.0,0,0,9.951156616210938,-0.6119679510593414,-0.07329433411359787,0.006607423012610525,230.7994565686265,6.731460809707642,0.0,0.0,0,0
5,320,69.782220881989,4,0.0,0.0,0,0,0.0,0.0,0,0,9.955108642578125,-0.24988850951194763,-0.051072243601083755,0.01870331121608615,37.20061618949719,0.7804820314049721,0.0,0.0,0,0
6,384,70.36825101894658,5,0.0,0.0,0,0,0.0,0.0,0,0,9.960365772247314,0.0862656906247139,-0.014257957227528095,0.002949311849079095,31.18526085994485,0.778039276599884,0.0,0.0,0,0
7,448,72.34563927148616,6,0.0,0.0,0,0,0.0,0.0,0,0,9.966017723083496,0.09300110675394535,-0.005273175658658147,0.0027641190754366107,19.102240183090878,1.4471386671066284,0.0,0.0,0,0
8,512,71.84141736919577,7,0.7673108577728271,0.0,0.7673108577728271,0.7673108577728271,500.0,0.0,500.0,500.0,9.972226619720459,-0.07041862979531288,-0.0395379438996315,0.011304585612379014,10.090963274721785,0.5364574491977692,0.7673108577728271,0.0,0.7673108577728271,0.7673108577728271
9,576,66.0538843855364,8,0.7673108577728271,0.0,0.7673108577728271,0.7673108577728271,500.0,0.0,500.0,500.0,9.978789329528809,-0.07686029374599457,-0.024718472734093666,0.0011621440935414284,12.131066703157568,0.1411912962794304,0.7673108577728271,0.0,0.7673108577728271,0.7673108577728271
10,640,67.98312701339222,9,0.7673108577728271,0.0,0.7673108577728271,0.7673108577728271,500.0,0.0,500.0,500.0,9.985361099243164,0.05182112962938845,-0.11466635391116142,0.016320278635248542,7.27670873235898,0.24392212182283401,0.7673108577728271,0.0,0.7673108577728271,0.7673108577728271
