update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,kl,success_rate,clip_fraction,approx_kl_k3,sigma_mean,mean_log_std,boundary_fraction,return_mean,return_std,return_min,return_max
1,128,11.651904444084844,10,0.0,0.0,0,0,0.0,0.0,0,0,9.943649291992188,-0.4709009528160095,-0.060354337096214294,0.22326506674289703,437.14886177007,20.565990447998047,0.0,0.7322834730148315,0.11204447597265244,1.0019617668581104,0.0019598439601915224,0.31825895637361035,0.0,0.0,0,0
2,256,58.5149107209615,13,0.0,0.0,0,0,0.0,0.0,0,0,9.953710556030273,-0.8866962790489197,-0.15985217690467834,0.020161928609013557,188.4527453873222,5.232002258300781,0.0,0.5826771855354309,0.058970797806978226,1.0033845470465355,0.0033787749042468412,0.3189456306874798,0.0,0.0,0,0
3,384,53.770193033333015,15,0.0,0.0,0,0,0.0,0.0,0,0,9.965127944946289,-0.03205566108226776,-0.07561540603637695,0.21778422594070435,32.54261090346993,0.670190155506134,0.0,0.8110235929489136,0.37671560049057007,1.0051436736668362,0.0051301642254527125,0.3197931836764604,0.0,0.0,0,0
4,512,58.444840169903095,17,1.9480093717575073,0.0,1.9480093717575073,1.9480093717575073,500.0,0.0,500.0,500.0,9.979949951171875,-0.03744884580373764,-0.037519872188568115,0.001531834714114666,4.370040181751966,0.07233909517526627,0.0,0.4881889820098877,0.036208659410476685,1.007354747062463,0.007327317459774869,0.3208564337385473,1.9480093717575073,0.0,1.9480093717575073,1.9480093717575073
5,640,62.982539318121056,20,1.9480093717575073,0.0,1.9480093717575073,1.9480093717575073,500.0,0.0,500.0,500.0,9.995279312133789,0.06998522579669952,-0.008336886763572693,0.005433989688754082,22.30557307818311,0.49567776918411255,0.0,0.3937007784843445,0.03006216511130333,1.0095388646097403,0.009492976857083184,0.32190440948964877,1.9480093717575073,0.0,1.9480093717575073,1.9480093717575073
6,768,63.23861342917445,22,1.9480093717575073,0.0,1.9480093717575073,1.9480093717575073,500.0,0.0,500.0,500.0,10.011570930480957,0.04049938544631004,-0.007093110587447882,0.0006456318660639226,11.884513276956229,0.2937147617340088,0.0,0.5984252095222473,0.07811100035905838,1.0119723444076965,0.011900422562445914,0.3230693362676213,1.9480093717575073,0.0,1.9480093717575073,1.9480093717575073
7,896,63.91722907311663,24,1.9480093717575073,0.0,1.9480093717575073,1.9480093717575073,500.0,0.0,500.0,500.0,10.029866218566895,-0.04227049648761749,-0.016877710819244385,0.006713908165693283,20.88143655253875,0.222995325922966,0.0,0.6535432934761047,0.07568889856338501,1.0146457862076494,0.014538635632821493,0.32434585143307654,1.9480093717575073,0.0,1.9480093717575073,1.9480093717575073
8,1024,64.29051258205598,26,0.7072224617004395,0.0,0.7072224617004395,0.7072224617004395,500.0,0.0,500.0,500.0,10.047874450683594,0.012226132676005363,-0.02194426953792572,0.0001746572961565107,19.41347788723697,0.1793491691350937,0.0,0.31496062874794006,0.020683614537119865,1.0172502025969041,0.01710205338895321,0.32558608355342494,0.7072224617004395,0.0,0.7072224617004395,0.7072224617004395
9,1152,61.24774566650718,28,0.7072224617004395,0.0,0.7072224617004395,0.7072224617004395,500.0,0.0,500.0,500.0,10.065670013427734,0.021604102104902267,-0.005716467276215553,2.892139855248388e-05,10.861505687739442,0.06035604327917099,0.0,0.031496062874794006,0.005173470824956894,1.0198929407184965,0.019696491371308054,0.32684121439894254,0.7072224617004395,0.0,0.7072224617004395,0.7072224617004395
10,1280,64.45523396092449,30,0.7072224617004395,0.0,0.7072224617004395,0.7072224617004395,500.0,0.0,500.0,500.0,10.085441589355469,0.008193159475922585,-0.013600842095911503,0.0007750163786113262,13.775512265881575,0.07496551424264908,0.0,0.14960630238056183,0.010480214841663837,1.0228044720194345,0.022547110116907527,0.32822013494716196,0.7072224617004395,0.0,0.7072224617004395,0.7072224617004395
11,1408,63.68088985847344,32,0.7072224617004395,0.0,0.7072224617004395,0.7072224617004395,500.0,0.0,500.0,500.0,10.105606079101562,0.022832002490758896,-0.018391579389572144,0.00032556106452830136,24.723948529176415,0.08582986146211624,0.0,0.0,0.0016046272357925773,1.0257326754269904,0.025405896295394217,0.32960283235566357,0.7072224617004395,0.0,0.7072224617004395,0.7072224617004395
12,1536,64.10630114662045,34,0.7063500285148621,0.0,0.7063500285148621,0.7063500285148621,500.0,0.0,500.0,500.0,10.123946189880371,0.020805921405553818,-0.011995642445981503,0.00045770235010422766,17.54390055024112,0.06016922369599342,0.0,0.007874015718698502,0.0031526286620646715,1.0283805434753628,0.027983979188970158,0.3308495957575314,0.7063500285148621,0.0,0.7063500285148621,0.7063500285148621
13,1664,62.36556518704701,36,0.7063500285148621,0.0,0.7063500285148621,0.7063500285148621,500.0,0.0,500.0,500.0,10.140409469604492,0.018770623952150345,-0.006476635579019785,0.00012127211084589362,12.556970337462376,0.0432271882891655,0.0,0.0,0.0013416087022051215,1.0306868339530684,0.03022405318915844,0.331932755229646,0.7063500285148621,0.0,0.7063500285148621,0.7063500285148621
14,1792,63.028974823790485,39,0.7063500285148621,0.0,0.7063500285148621,0.7063500285148621,500.0,0.0,500.0,500.0,10.15579605102539,0.0071326494216918945,-0.014602459967136383,0.0005384612013585865,11.19937481139751,0.021207446232438087,0.0,0.0,0.0020148493349552155,1.0329572173668757,0.032424324325152805,0.33299652875449576,0.7063500285148621,0.0,0.7063500285148621,0.7063500285148621
15,1920,62.69924930836143,41,0.7063500285148621,0.0,0.7063500285148621,0.7063500285148621,500.0,0.0,500.0,500.0,10.1732759475708,0.028141455724835396,-0.019259346649050713,9.265200060326606e-05,8.832613576402085,0.012059261091053486,0.0,0.0,0.001845763181336224,1.0357002266086677,0.03507607909185546,0.33427838262820936,0.7063500285148621,0.0,0.7063500285148621,0.7063500285148621
16,2048,63.30072408915828,43,0.7149632573127747,0.0,0.7149632573127747,0.7149632573127747,500.0,0.0,500.0,500.0,10.19224739074707,0.028362127020955086,-0.014578173868358135,0.0008246120996773243,8.715027387581147,0.0171719528734684,0.0,0.0,0.0001206048036692664,1.0385160823506812,0.03779102968318122,0.33559054813388656,0.7149632573127747,0.0,0.7149632573127747,0.7149632573127747
17,2176,61.74318801411119,45,0.7149632573127747,0.0,0.7149632573127747,0.7149632573127747,500.0,0.0,500.0,500.0,10.21265983581543,-0.07409434020519257,-0.007740803062915802,0.01393186766654253,10.280442574419977,0.08662033081054688,0.0,0.05511811003088951,0.005996212363243103,1.0415050145824944,0.04066497619662966,0.3369792807064366,0.7149632573127747,0.0,0.7149632573127747,0.7149632573127747
18,2304,61.677724070918174,47,0.7149632573127747,0.0,0.7149632573127747,0.7149632573127747,500.0,0.0,500.0,500.0,10.230140686035156,0.021802952513098717,-0.023216700181365013,0.0026827361434698105,9.964195176382427,0.05600994452834129,0.0,0.0,0.0017584546003490686,1.0440308940312433,0.04308726638555527,0.33814952544327453,0.7149632573127747,0.0,0.7149632573127747,0.7149632573127747
19,2432,62.55735505896662,49,0.7149632573127747,0.0,0.7149632573127747,0.7149632573127747,500.0,0.0,500.0,500.0,10.245660781860352,0.0474056676030159,-0.01781488209962845,8.888584125088528e-05,5.7235223486726055,0.024110917001962662,0.0,0.0,0.0026760073378682137,1.046336032158411,0.04529269891125815,0.3392147972882638,0.7149632573127747,0.0,0.7149632573127747,0.7149632573127747
20,2560,62.41207453677246,51,0.8282860517501831,0.0,0.8282860517501831,0.8282860517501831,500.0,0.0,500.0,500.0,10.263285636901855,0.006642643827944994,-0.005637458059936762,0.001899473718367517,8.676876551701952,0.016932973638176918,0.0,0.0,0.0023346031084656715,1.0490440273660797,0.04787738461579595,0.34046299760122206,0.8282860517501831,0.0,0.8282860517501831,0.8282860517501831
